TEAM,CONF,W-L,BPI RK,SOS RK,SOR RK
Gonzaga,WCC,26-3,1,78,7
Houston,American,29-5,2,88,15
Arizona,Pac-12,31-3,3,72,2
Tennessee,SEC,26-7,4,2,3
Kentucky,SEC,26-7,5,19,5
Villanova,Big East,26-7,6,17,8
Baylor,Big 12,26-6,7,10,4
Kansas,Big 12,28-6,8,11,1
UCLA,Pac-12,25-7,9,52,14
Purdue,Big Ten,27-7,10,25,9
Duke,ACC,28-6,11,56,12
Auburn,SEC,27-5,12,34,6
Texas Tech,Big 12,25-9,13,12,10
Iowa,Big Ten,26-9,14,45,17
Illinois,Big Ten,22-9,15,18,18
LSU,SEC,22-11,16,26,26
UConn,Big East,23-9,17,39,22
Texas,Big 12,21-11,18,20,24
Virginia Tech,ACC,23-12,19,59,42
Arkansas,SEC,25-8,20,46,16
Alabama,SEC,19-13,21,1,29
Ohio State,Big Ten,19-11,22,24,37
Loyola Chicago,MVC,25-7,23,116,48
Saint Mary's,WCC,25-7,24,81,25
Memphis,American,21-10,25,62,39
North Carolina,ACC,24-9,26,48,19
Wisconsin,Big Ten,24-7,27,15,11
Michigan,Big Ten,17-14,28,4,50
San Diego State,Mountain West,23-8,29,91,40
Murray State,OVC,30-2,30,261,21
San Francisco,WCC,24-9,31,92,47
Michigan State,Big Ten,22-12,32,6,23
Indiana,Big Ten,20-13,33,32,46
Oklahoma,Big 12,18-15,34,5,51
Mississippi State,SEC,18-15,35,40,73
Seton Hall,Big East,21-10,36,41,31
Vermont,Am. East,28-5,37,320,72
Wake Forest,ACC,23-9,38,85,45
Oklahoma State,Big 12,15-15,39,7,64
USC,Pac-12,26-7,40,76,20
Florida,SEC,19-13,41,44,56
Providence,Big East,25-5,42,61,13
SMU,American,23-8,43,94,49
Texas A&M,SEC,23-12,44,43,35
Xavier,Big East,18-13,45,38,59
TCU,Big 12,20-12,46,9,27
UAB,C-USA W,27-7,47,180,62
Dayton,A 10,23-10,48,99,68
St. John's,Big East,17-15,49,53,81
Davidson,A 10,27-6,50,118,33
Notre Dame,ACC,22-10,51,63,38
Saint Louis,A 10,23-11,52,93,71
