Team,ovr_seed
1. Gonzaga (26-4),1
2. Arizona (31-3),2
3. Kansas (28-6),3
4. Baylor (26-6),4
5. Auburn (27-5),5
6. Kentucky (26-7),6
7. Villanova (26-7),7
8. Duke (28-6),8
9. Wisconsin (24-7),9
10. Tennessee (26-7),10
11. Purdue (27-7),11
12. Texas Tech (25-9),12
13. UCLA (25-7),13
14. Illinois (22-9),14
15. Providence (25-5),15
16. Arkansas (25-8),16
17. UConn (23-9),17
18. Houston (29-5),18
19. Saint Mary's (25-7),19
20. Iowa (26-9),20
21. Alabama (19-13),21
22. LSU (22-11),22
23. Texas (21-11),23
24. Colorado State (25-5),24
25. USC (26-7),25
26. Murray State (30-2),26
27. Michigan State (22-12),27
28. Ohio State (19-11),28
29. Boise State (27-7),29
30. North Carolina (24-9),30
31. San Diego State (23-8),31
32. Seton Hall (21-10),32
33. Creighton (22-11),33
34. TCU (20-12),34
35. Marquette (19-12),35
36. Memphis (21-10),36
37. San Francisco (24-9),37
38. Miami (FL) (23-10),38
39. Loyola-Chicago (25-7),39
40. Davidson (27-6),40
41. Iowa State (20-12),41
42. Michigan (17-14),42
43. Wyoming (25-8),43
44. Rutgers (18-13),44
45. Indiana (20-13),45
46. Virginia Tech (23-12),46
47. Notre Dame (22-10),47
48. UAB (27-7),48
49. Richmond (23-12),49
50. New Mexico State (26-6),50
51. Chattanooga (27-7),51
52. South Dakota State (30-4),52
53. Vermont (28-5),53
54. Akron (24-9),54
55. Longwood (26-6),55
56. Yale (19-11),56
57. Colgate (23-11),57
58. Montana State (27-7),58
59. Delaware (22-12),59
60. Saint Peter's (19-11),60
61. Jacksonville State (21-10),61
62. Cal State Fullerton (21-10),62
63. Georgia State (18-10),63
64. Norfolk State (24-6),64
65. Wright State (21-13),65
66. Bryant (22-9),66
67. Texas Southern (18-12),67
68. Texas A&M-Corpus Christi (23-11),68
